"name","final_deadline","words","system","status","instructions","paid","invoiced","lines","language_in","language_out","initial_deadline","interim_deadline","sap_subproject_id","api_source","last_synced_at","sap_instructions","sap_pm","project_type","terminology_key","lxe_project","translation_area","lxe_projects","work_list","graph_id","url","hours","project_notes","sap_import_key"
"SAP S/4HANA UI Translation Q1","2026-03-15T18:00:00+00:00","12500","XTM","active","Translate all UI strings for S/4HANA Finance module. Follow SAP terminology glossary.","false","false","320","EN","DE","2026-02-20T09:00:00+00:00","2026-03-01T18:00:00+00:00","","manual","","","","","","","","","","","","","",""
"Cloud ALM Documentation Update","2026-04-01T18:00:00+00:00","8200","LAT","active","Update Cloud ALM user guide. Ensure consistency with 2026 release notes.","false","false","210","EN","PT","2026-02-25T09:00:00+00:00","2026-03-15T18:00:00+00:00","","manual","","","","","","","","","","","","","",""
"SuccessFactors Onboarding Module","2026-03-20T18:00:00+00:00","5400","XTM","active","Localize onboarding wizard and help texts. Pay attention to legal disclaimers.","false","false","140","EN","FR","2026-02-18T09:00:00+00:00","2026-03-10T18:00:00+00:00","","manual","","","","","","","","","","","","","",""
"BTP Cockpit Error Messages","2026-02-28T18:00:00+00:00","1800","SSE","active","Translate error and warning messages for BTP cockpit. Keep messages concise.","false","false","95","EN","ES","2026-02-10T09:00:00+00:00","2026-02-22T18:00:00+00:00","","manual","","","","","","","","","","","","","",""
"Fiori Launchpad Tiles Q1","2026-03-31T18:00:00+00:00","9500","XTM","active","Translate tile titles, subtitles, and descriptions for Fiori Launchpad apps.","false","false","250","EN","JA","2026-02-15T09:00:00+00:00","2026-03-20T18:00:00+00:00","","manual","","","","","","","","","","","","","",""
"SAP Analytics Cloud Reports","2026-04-15T18:00:00+00:00","6700","STM","active","Localize report templates and chart labels. Maintain number format conventions.","false","false","175","EN","ZH","2026-03-01T09:00:00+00:00","2026-04-01T18:00:00+00:00","","manual","","","","","","","","","","","","","",""
"Integration Suite API Docs","2026-03-10T18:00:00+00:00","15000","LAT","active","Translate API reference documentation. Code samples must remain in English.","false","false","400","EN","DE","2026-02-12T09:00:00+00:00","2026-02-28T18:00:00+00:00","","manual","","","","","","","","","","","","","",""
"Ariba Procurement Workflow","2026-03-25T18:00:00+00:00","4300","XTM","complete","Translate procurement approval workflow screens and email templates.","true","true","110","EN","IT","2026-02-01T09:00:00+00:00","2026-03-10T18:00:00+00:00","","manual","","","","","","","","","","","","","",""
"Concur Expense Mobile App","2026-02-20T18:00:00+00:00","3200","B0X","complete","Localize mobile app UI for Concur Expense. Short strings only.","true","false","85","EN","KO","2026-01-15T09:00:00+00:00","2026-02-10T18:00:00+00:00","","manual","","","","","","","","","","","","","",""
"SAP Build Apps Low-Code Platform","2026-04-30T18:00:00+00:00","11000","XTM","active","Translate low-code IDE interface elements and tutorials.","false","false","290","EN","PT","2026-03-10T09:00:00+00:00","2026-04-15T18:00:00+00:00","","manual","","","","","","","","","","","","","",""
"EWM Warehouse Management Labels","2026-03-05T18:00:00+00:00","2100","SSE","active","Translate warehouse label templates and scanner UI. Max 30 chars per field.","false","false","55","EN","PL","2026-02-10T09:00:00+00:00","2026-02-25T18:00:00+00:00","","manual","","","","","","","","","","","","","",""
"S/4HANA Public Cloud Release Notes","2026-03-18T18:00:00+00:00","7800","LAT","active","Translate release notes for 2026 Q1 release. Technical accuracy is critical.","false","false","200","EN","FR","2026-02-20T09:00:00+00:00","2026-03-08T18:00:00+00:00","","manual","","","","","","","","","","","","","",""
"Fieldglass Contingent Worker Portal","2026-04-10T18:00:00+00:00","4900","XTM","active","Localize portal UI and notification emails. Follow Fieldglass style guide.","false","false","130","EN","DE","2026-03-05T09:00:00+00:00","2026-03-28T18:00:00+00:00","","manual","","","","","","","","","","","","","",""
"Business Network Discovery Strings","2026-02-25T18:00:00+00:00","1500","B0X","cancelled","Project cancelled - scope merged with Ariba Procurement Workflow.","false","false","40","EN","ES","2026-02-01T09:00:00+00:00","2026-02-15T18:00:00+00:00","","manual","","","","","","","","","","","","","",""
"Signavio Process Modeler","2026-05-01T18:00:00+00:00","8900","STM","active","Translate process modeling UI and BPMN element labels.","false","false","230","EN","JA","2026-03-15T09:00:00+00:00","2026-04-15T18:00:00+00:00","","manual","","","","","","","","","","","","","",""
